Unique_ID,Name,Gender,Age_When_First_Married,Age_When_First_Divorced,Times_Divorced,Divorce_Reason,Had_Children_Together,Children_Ages,Kept_Contact_After_Divorce,Custody_Arrangement,Happiness_Before_Marriage,Happiness_After_Marriage,Felt_Supported_By_Friends_Family,Advice_For_Others,Biggest_Regret,Would_Marry_Again_Text,Zip_Code,Years_Married,Education_Level,Annual_Income,State_Of_Residence,Urban_or_Rural,Met_Spouse_How,Marriage_Ceremony_Size,Conflict_Frequency,Shared_Interests_Score,Reported_Stress_Level,Therapy_Attendance,Time_Until_Remarried,Moved_To_New_City,Change_In_Income_After_Divorce
P0082,Fayez,Nonbinary,30,36,2,finances,yes,"5, 8",maybe,split,6,3,no,Don't rush,No regrets,yes,45535,15 years,Bachlor,41k,Penn,Urban,church,small,2 times/month,3,6,no,,no,-18%
P0005,Jason,male,30,36,2,irreconcilable,yes,4,maybe,split,2,7,no,No regrets,Ignored red flags,nope,33702,~14,Bachelors,146536,NY,Suburban,online,small,10,10,3,yes,never,yes,-6%
P0041,Michael,Male,30,32,1,other,yes,"16,9",maybe,none,3,10,no,Choose wisely,No regrets,yes,24630,15 years,Bachelors,86k,MD,Urban,vacation,53 people,5 times,5,5,once,,yes,down 9k
P0070,Hassan,Female,19,21,3,irreconcilable,yes,"5, 8",no,split,5,3,no,Don't rush,Ignored red flags,depends,65020,1 years,HS,"$20,072 ",Virginia,Urban,online,large,often,8,7,once,,yes,down 8k
P0011,Desiree,Nonbinary,18,26,2,irreconcilable,no,none,no,sole_father,2,8,no,Don't rush,Married too young,maybe,68784,4 years,BS,78k,D.C.,Suburban,online,small,weekly,8,7,yes,1,no,down 3k
P0046,Ian,Nonbinary,26,34,1,irreconcilable,no,none,maybe,split,5,3,yes,Communicate more,Married too young,Y,39675,3 years,PhD,"$121,734 ",NY,Urban,church,119 people,weekly,1,2,sometimes,10,no,down 6k
P0071,Harshitha,Nonbinary,18,33,3,irreconcilable,no,none,maybe,split,1,8,yes,Seek counseling,Married too young,definitely,20845,~5,BA,70k,Meryland,Rural,college,small,2 times/month,6,2,no,2,yes,up 8k
P0067,Selam,Male,28,42,3,incompatibility,yes,4,yes,sole_father,7,7,yes,Wait longer,Not enough communication,definitely,23702,15,HS,54176 USD,NY,Urban,work,large,2 times/month,4,6,yes,,yes,down 8k
P0048,Thara,Male,24,29,1,finances,yes,"5, 8",no,joint,3,6,yes,Seek counseling,Ignored red flags,depends,68101,6 years,Bachlor,119624 USD,Penn,Suburban,online,264 people,2 times/month,2,7,no,never,yes,up 1k
P0012,Kashvi,male,28,35,1,finances,yes,"5, 8",no,joint,2,7,yes,No regrets,Ignored red flags,definitely,38689,14,PhD,124k,Penn,Suburban,church,small,10,1,1,once,never,no,-6%
P0101,Adron,female,20,23,3,other,no,none,sometimes,sole_father,3,6,no,Communicate more,No regrets,50/50,84259,~11,BA,103k,Penn,Rural,church,large,1,2,9,yes,4,yes,up 6k
P0037,Matthew,Female,33,47,2,abuse,yes,"5, 8",no,joint,9,8,yes,Communicate more,Ignored red flags,yes,75156,6 years,MA,136331,MD,Suburban,church,large,2 times/month,5,2,no,,no,-3%
P0085,Jason,Male,31,35,1,finances,yes,4 13 9,sometimes,joint,7,2,yes,Communicate more,Married too young,yes,93912,~10,HS,144299,MD,Suburban,online,246,1,7,5,no,never,no,-11%
P0114,Arlyna,Nonbinary,20,33,2,infidelity,no,none,maybe,split,4,1,yes,Seek counseling,Financial stress,50/50,52585,8 years,HS,106833,New York,Suburban,church,189,1,3,9,no,,yes,down 6k
P0019,Addison,Nonbinary,20,21,3,other,yes,17,maybe,none,10,1,no,Don't rush,Not enough communication,maybe,40215,~14,BS,22k,Penn,Suburban,online,279 people,1,3,1,once,never,no,down 4k
P0001,Vanessa,female,18,23,3,abuse,no,none,maybe,none,1,9,no,Wait longer,Financial stress,depends,28231,~2,Bachelors,130952 USD,Virginia,Suburban,online,medium,2 times/month,5,7,yes,9,no,down 4k
P0073,Joshua,Nonbinary,32,42,3,other,yes,"5, 8",yes,joint,5,5,yes,Communicate more,No regrets,Y,45151,14,HS,27805 USD,DC,Urban,college,76,weekly,7,5,no,,no,up 7k
P0027,Vanessa,male,30,42,3,incompatibility,no,none,maybe,none,9,5,yes,Seek counseling,No regrets,Y,23046,~8,MA,138k,NY,Rural,online,medium,5 times,9,4,no,never,no,down 5k
